season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
6,21,The One Where Ross Meets Elizabeth's Dad,Michael Lembeck,Story by: David J. LaganaTeleplay by: Scott Silveri,4/27/00,20.6,8.6
6,22,The One Where Paul's the Man,Gary Halvorson,Story by: Brian CaldirolaTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,5/4/00,20,9
6,23,The One with the Ring,Gary Halvorson,Ted Cohen & Andrew Reich,5/11/00,20.9,8.6
6,24,The One with the Proposal,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,5/18/00,30.7,8.8
6,25,The One with the Proposal,Kevin S. Bright,Andrew Reich & Ted Cohen,5/18/00,30.7,9.3
7,1,The One with Monica's Thunder,Kevin S. Bright,Story by: Wil CalhounTeleplay by: David Crane & Marta Kauffman,10/12/00,25.54,8.4
7,2,The One with Rachel's Book,Michael Lembeck,Andrew Reich & Ted Cohen,10/12/00,27.93,8.3
7,3,The One with Phoebe's Cookies,Gary Halvorson,Sherry Bilsing & Ellen Plummer,10/19/00,22.7,8.1
7,4,The One with Rachel's Assistant,David Schwimmer,Brian Boyle,10/26/00,22.66,8.1
7,5,The One with the Engagement Picture,Gary Halvorson,Story by: Earl DavisTeleplay by: Patty Lin,11/2/00,24.43,8.1
7,6,The One with the Nap Partners,Gary Halvorson,Brian Buckner & Sebastian Jones,11/9/00,22.01,8.9
7,7,The One with Ross's Library Book,David Schwimmer,Scott Silveri,11/16/00,23.73,8.5
7,8,The One Where Chandler Doesn't Like Dogs,Kevin S. Bright,Patty Lin,11/23/00,16.57,8.2
7,9,The One with All the Candy,David Schwimmer,Wil Calhoun,12/7/00,21.08,8.1
7,10,The One with the Holiday Armadillo,Gary Halvorson,Gregory S. Malins,12/14/00,23.26,8.5
7,11,The One with All the Cheesecakes,Gary Halvorson,Shana Goldberg-Meehan,1/4/01,24.37,8.6
7,12,The One Where They're Up All Night,Kevin S. Bright,Zachary Rosenblatt,1/11/01,22.86,8.7
7,13,The One Where Rosita Dies,Stephen Prime,Story by: Ellen Plummer & Sherry BilsingTeleplay by: Brian Buckner & Sebastian Jones,2/1/01,22.24,8.4
7,14,The One Where They All Turn Thirty,Ben Weiss,Story by: Vanessa McCarthyTeleplay by: Ellen Plummer & Sherry Bilsing,2/8/01,22.4,8.6
7,15,The One with Joey's New Brain,Kevin S. Bright,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Andrew Reich & Ted Cohen,2/15/01,21.75,8.4
7,16,The One with the Truth About London,David Schwimmer,Story by: Brian Buckner & Sebastian JonesTeleplay by: Zachary Rosenblatt,2/22/01,21.22,8.7
7,17,The One with the Cheap Wedding Dress,Kevin S. Bright,Story by: Brian Buckner & Sebastian JonesTeleplay by: Andrew Reich & Ted Cohen,3/15/01,20.84,8.4
7,18,The One with Joey's Award,Gary Halvorson,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Brian Boyle,3/29/01,17.81,8.4
7,19,The One with Ross and Monica's Cousin,Gary Halvorson,Andrew Reich & Ted Cohen,4/19/01,16.55,8.7
7,20,The One with Rachel's Big Kiss,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,4/26/01,16.3,8.4
7,21,The One with the Vows,Gary Halvorson,Doty Abrams,5/3/01,15.65,7.5
7,22,The One with Chandler's Dad,Kevin S. Bright & Gary Halvorson,Story by: Gregory S. MalinsTeleplay by: Brian Buckner & Sebastian Jones,5/10/01,17.23,8.4
7,23,The One with Monica and Chandler's Wedding,Kevin S. Bright,Gregory S. Malins,5/17/01,30.05,8.9
7,24,The One with Monica and Chandler's Wedding,Kevin S. Bright,Marta Kauffman & David Crane,5/17/01,30.05,9.2
8,1,The One After 'I Do',Kevin S. Bright,David Crane & Marta Kauffman,9/27/01,31.7,8.7
8,2,The One with the Red Sweater,David Schwimmer,Dana Klein Borkow,10/4/01,30.04,9.1
8,3,The One Where Rachel Tells...,Sheldon Epps,Sherry Bilsing & Ellen Plummer,10/11/01,29.2,8.7
8,4,The One with the Videotape,Kevin S. Bright,Scott Silveri,10/18/01,25.58,9.3
8,5,The One with Rachel's Date,Gary Halvorson,Brian Buckner & Sebastian Jones,10/25/01,25.64,8.1
8,6,The One with the Halloween Party,Gary Halvorson,Mark Kunerth,11/1/01,26.96,8.5
8,7,The One with the Stain,Kevin S. Bright,R. Lee Fleming Jr.,11/8/01,24.24,7.9
8,8,The One with the Stripper,David Schwimmer,Andrew Reich & Ted Cohen,11/15/01,26.54,8.8
8,9,The One with the Rumor,Gary Halvorson,Shana Goldberg-Meehan,11/22/01,24.24,9.3
